PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Arpinar-Avsar, P				Arpinar-Avsar, Pinar			Global Perspectives on Women in Combat Sports: Women Warriors around the World.	GENDER & SOCIETY			English	Book Review									[Arpinar-Avsar, Pinar] Hacettepe Univ, Ankara, Turkey	Arpinar-Avsar, P (reprint author), Hacettepe Univ, Ankara, Turkey.							1	0	0	1	3	SAGE PUBLICATIONS INC	THOUSAND OAKS	2455 TELLER RD, THOUSAND OAKS, CA 91320 USA	0891-2432	1552-3977		GENDER SOC	Gend. Soc.	APR	2017	31	2					279	280		10.1177/0891243216652381				2	Sociology; Women's Studies	Sociology; Women's Studies	EQ3LQ	WOS:000397974400012					2018-09-20	
J	Kitchen, A				Kitchen, Ashley			Some Men: Feminist Allies and the Movement to End Violence against Women.	GENDER & SOCIETY			English	Book Review									[Kitchen, Ashley] Univ Westminster, London, England	Kitchen, A (reprint author), Univ Westminster, London, England.							1	0	0	0	1	SAGE PUBLICATIONS INC	THOUSAND OAKS	2455 TELLER RD, THOUSAND OAKS, CA 91320 USA	0891-2432	1552-3977		GENDER SOC	Gend. Soc.	APR	2017	31	2					281	282		10.1177/0891243216653579				2	Sociology; Women's Studies	Sociology; Women's Studies	EQ3LQ	WOS:000397974400013					2018-09-20	
J	Zaikman, Y; Marks, MJ				Zaikman, Yuliana; Marks, Michael J.			Promoting Theory-Based Perspectives in Sexual Double Standard Research	SEX ROLES			English	Review						Sexual double standard; Evolutionary theory; Social role theory; Cognitive social learning theory; Sex differences; Sexual behavior; Gender roles	GENDER-DIFFERENCES; MARRIAGE DESIRABILITY; DATING RELATIONSHIPS; JAPANESE STUDENTS; COLLEGE-STUDENTS; PERCEPTIONS; JUDGMENTS; WOMEN; MEN; PERMISSIVENESS	The sexual double standard (SDS) has been a focus of research for several decades. Numerous anecdotal accounts of the double standard exist, detailing its consequences and impact on women's, as well as men's, sexual behavior and identities. Empirical research, however, has yet to completely corroborate the degree to which the double standard pervades everyday life. The disparity between anecdotal accounts and empirical evidence related to the SDS may be the result of the partially atheoretical approach with which the SDS has traditionally been examined. The goal of the present paper is to encourage researchers to take a more theory-oriented approach to understanding the double standard. Our goal is not to provide another comprehensive literature review or an argument for the "best" theory, but rather to promote theory-based perspectives in future SDS research. In the current paper, three theoretical perspectives-evolutionary theory, social role theory, and cognitive social learning theory-and their relevance to the SDS are discussed. We discuss four hypotheses, one related to the core tenet of the SDS itself, and three related to moderating factors, including characteristics of evaluators (i.e., gender, gender roles beliefs, and sexual history), characteristics of targets (i.e., relationship type engaged in, sexual activities participated in, and power status), and social factors (i.e., cultural background, historical era, and socialization agents). Existing research is also interpreted in light of one or more of the theoretical perspectives in the hopes of guiding future research.	[Zaikman, Yuliana; Marks, Michael J.] New Mexico State Univ, Dept Psychol, MSC 3452,POB 30001, Las Cruces, NM 88003 USA	Zaikman, Y (reprint author), New Mexico State Univ, Dept Psychol, MSC 3452,POB 30001, Las Cruces, NM 88003 USA.	yzaikman@nmsu.edu						79	2	2	1	13	SPRINGER/PLENUM PUBLISHERS	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	0360-0025	1573-2762		SEX ROLES	Sex Roles	APR	2017	76	7-8					407	420		10.1007/s11199-016-0677-z				14	Psychology, Developmental; Psychology, Social; Women's Studies	Psychology; Women's Studies	ER0AD	WOS:000398447100001					2018-09-20	
J	Paassen, B; Morgenroth, T; Stratemeyer, M				Paassen, Benjamin; Morgenroth, Thekla; Stratemeyer, Michelle			What is a True Gamer? The Male Gamer Stereotype and the Marginalization of Women in Video Game Culture	SEX ROLES			English	Review						Gender stereotypes; Gamer stereotypes; Video game culture; Video games; Female gamers	GENDER-DIFFERENCES; TEST-PERFORMANCE; COMPUTER GAMES; ROLE-MODELS; SELF; THREAT; ROLES; PERCEPTIONS; PLAY; CHARACTERS	Women and men play video games in approximately equal numbers. Despite this similarity, video gaming is still strongly associated with men. A common justification for this stereotype is that, although women might play games, they should not be considered "true" or "hard-core" gamers because they play more casually and less skillfully compared to their male counterparts. In this contribution, we review the existing literature on gender and gaming to investigate the male gamer stereotype in terms of its accuracy, persistence, effects, and future perspective. We conclude that the stereotype varies in accuracy depending on the definition of "gamer." We further argue that the persistence of this stereotype can be explained by the fact that almost all professional and highly visible figures in gaming culture are male. On the other hand, female players who achieve a moderate level of competence are rendered invisible or are actively marginalized. We argue that the effects of the male gamer stereotype can be harmful to women, precluding them from the positive outcomes of video game play such as enhanced access to fields of science, technology, and engineering.	[Paassen, Benjamin] CITEC Ctr Excellence, Inspirat 1, D-33619 Bielefeld, Germany; [Morgenroth, Thekla] Univ Exeter, Dept Psychol, Perry Rd, Exeter EX4 4QG, Devon, England; [Stratemeyer, Michelle] Univ Melbourne, Melbourne Sch Psychol Sci, Parkville, Vic 3010, Australia	Paassen, B (reprint author), CITEC Ctr Excellence, Inspirat 1, D-33619 Bielefeld, Germany.	bpaassen@techfak.uni-bielefeld.de		Paassen, Benjamin/0000-0002-3899-2450				110	6	6	12	36	SPRINGER/PLENUM PUBLISHERS	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	0360-0025	1573-2762		SEX ROLES	Sex Roles	APR	2017	76	7-8					421	435		10.1007/s11199-016-0678-y				15	Psychology, Developmental; Psychology, Social; Women's Studies	Psychology; Women's Studies	ER0AD	WOS:000398447100002					2018-09-20	
J	Wen, NN; Chia, SC; Hao, XM				Wen, Nainan; Chia, Stella C.; Hao Xiaoming			Does Gender Matter? Testing the Influence of Presumed Media Influence on Young People's Attitudes toward Cosmetic Surgery	SEX ROLES			English	Article						Gender differences; Plastic surgery; Cosmetic techniques; Media exposure; Peer pressure; Social influence; Asians; Singapore	IDEALIZED BODY-IMAGE; 3RD-PERSON PERCEPTIONS; PLURALISTIC IGNORANCE; SELF-OBJECTIFICATION; COLLEGE-STUDENTS; PEER NORMS; MASS-MEDIA; BEHAVIOR; COMMUNICATION; MEN	The present study examined gender differences in young people's attitudes toward cosmetic surgery as well as the joint effects of media and peers on their attitudes toward cosmetic surgery. A survey of 555 university students in Singapore showed that young people of both sexes generally held positive attitudes toward cosmetic surgery. We observed no significant gender disparities in their acceptance of cosmetic surgery or intention to undergo cosmetic surgery. We tested the influence of the presumed media influence model, and our findings supported direct and indirect models of media influence on young people's attitudes toward cosmetic surgery. The indirect model was mediated by perceived influence of cosmetic surgery-related media on peers. We also found that men were more susceptible to the influence of presumed media influence than women were. Practice implications of our study for educators include open discussions regarding cosmetic surgery and the influence of media and peers among young people, as well as differentiating intervention programs for emerging adult women and men.	[Wen, Nainan] Nanjing Univ, Sch Journalism & Commun, 22 Hankou Rd, Nanjing 210093, Jiangsu, Peoples R China; [Chia, Stella C.] City Univ Hong Kong, Dept Media & Commun, Kowloon Tong, Hong Kong, Peoples R China; [Hao Xiaoming] Nanyang Technol Univ, Wee Kim Wee Sch Commun & Informat, Singapore, Singapore	Wen, NN (reprint author), Nanjing Univ, Sch Journalism & Commun, 22 Hankou Rd, Nanjing 210093, Jiangsu, Peoples R China.	nnwen@nju.edu.cn; cychia@cityu.eud.hk; TXMHAO@ntu.edu.sg						64	2	2	3	24	SPRINGER/PLENUM PUBLISHERS	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	0360-0025	1573-2762		SEX ROLES	Sex Roles	APR	2017	76	7-8					436	447		10.1007/s11199-016-0680-4				12	Psychology, Developmental; Psychology, Social; Women's Studies	Psychology; Women's Studies	ER0AD	WOS:000398447100003					2018-09-20	
J	Teng, F; You, J; Poon, KT; Yang, Y; You, JN; Jiang, YQ				Teng, Fei; You, Jin; Poon, Kai-Tak; Yang, Ye; You, Jianing; Jiang, Yongqiang			Materialism Predicts Young Chinese Women's Self-Objectification and Body Surveillance	SEX ROLES			English	Article						Self-objectification; Body surveillance; Materialism; Chinese women	TELEVISION SITUATION COMEDIES; APPEARANCE CONCERNS; AMERICAN-DREAM; PHYSICAL ATTRACTIVENESS; COGNITIVE PERFORMANCE; FINANCIAL SUCCESS; SEXUAL ECONOMICS; IMAGE CONCERNS; COLLEGE-WOMEN; RISK-FACTORS	Previous research on antecedents of women's self-objectification mainly focuses on situational factors whereas our study examined whether women's values on materialism would predict their self-objectification and body surveillance in a sample of 218 undergraduate women in south China. Specifically, we proposed that materialism would increase women's tendency to regard sexual attractiveness as capital for them to gain positive life outcomes (i.e., capitalization of sexual attractiveness, CSA), and the tendency to have appearance-contingent self-worth (i.e., appearance CSW), which would in turn predict their self-objectification and body surveillance. Results provided support for the proposed theoretical model. Specifically, CSA and appearance CSW mediated the relationship between materialism and women's self-objectification, whereas appearance CSW mediated the relationship between materialism and women's body surveillance. These results expand the scope of investigation by incorporating Chinese samples and suggest that in addition to socio-cultural and interpersonal predictors, women's values can contribute to the development of an objectifying perspective on themselves. Therefore, interventions on women's values combined with attempts to change sexually-objectifying environments are both critical in reducing self-objectification and body surveillance in women.	[Teng, Fei; You, Jianing; Jiang, Yongqiang] South China Normal Univ, Base Psychol Serv & Counseling Happiness Guangzho, Guangdong Key Lab Mental Hlth & Cognit Sci, Sch Psychol,Ctr Studies Psychol Applicat, Guangzhou, Guangdong, Peoples R China; [You, Jin] Wuhan Univ, Dept Psychol, Wuhan, Peoples R China; [Poon, Kai-Tak] Educ Univ Hong Kong, Dept Psychol Studies, Ctr Psychosocial Hlth, Tai Po, Hong Kong, Peoples R China; [Yang, Ye] Changshu Inst Technol, Sch Humanities, Changshu, Peoples R China	Teng, F (reprint author), South China Normal Univ, Base Psychol Serv & Counseling Happiness Guangzho, Guangdong Key Lab Mental Hlth & Cognit Sci, Sch Psychol,Ctr Studies Psychol Applicat, Guangzhou, Guangdong, Peoples R China.	tengfei.scnu@gmail.com; jyou@whu.edu.cn; ktpoon@eduhk.hk; Yangye.csit@gmail.com; youjianing@gmail.com; Jiangqq1991@live.com		Poon, Kai-Tak/0000-0002-5651-1227; Jiang, Yongqiang/0000-0001-8970-4570	SCNU seed funding programs [SCNU671016]	The first two authors contributed equally to this paper. This research was supported by SCNU seed funding programs (SCNU671016 to Teng).		92	2	2	3	16	SPRINGER/PLENUM PUBLISHERS	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	0360-0025	1573-2762		SEX ROLES	Sex Roles	APR	2017	76	7-8					448	459		10.1007/s11199-016-0671-5				12	Psychology, Developmental; Psychology, Social; Women's Studies	Psychology; Women's Studies	ER0AD	WOS:000398447100004					2018-09-20	
J	Forsman, JA; Barth, JM				Forsman, J. Andrew; Barth, Joan M.			The Effect of Occupational Gender Stereotypes on Men's Interest in Female-Dominated Occupations	SEX ROLES			English	Article						Occupation stereotypes; Career interest; Social roles; Precluded interest theory; Masculinity; Gender differences	VOCATIONAL INTERESTS; CAREER CHOICE; WOMEN; CIRCUMSCRIPTION; TRADITIONALITY; ASPIRATIONS; MASCULINITY; AFFORDANCES; VALUES; MODEL	A great deal of research has sought to explain women's lower interest in male-dominated occupations, but relatively little attention has been given to explaining men's disinterest in female-dominated occupations. Examining factors that affect men's interest in female-dominated occupations has both theoretical and practical implications. Two factors hypothesized to alter the gender-stereotype salience of an occupation were examined: occupation titles and gender-stereotyped occupation descriptions. We hypothesized that men who reported higher levels of stereotypical feminine attributes would be more interested in feminine-stereotyped occupations. College-aged participants (N = 1001, 791 male) enrolled in an engineering, computer science, or physics course recorded their interest in occupations with or without a feminine title and described with either feminine or masculine stereotyped skills and attributes. Participants also reported the degree to which they held stereotypical feminine attributes. Results indicated that men showed greater interest in no-title occupations, especially when masculine characteristics were used in the description. For men, self-reported levels of feminine attributes were associated with interest in occupations with feminine descriptions, primarily in the no-title condition. Women expressed more interested than did men in the occupations, but unlike men, women were equally interested in occupations with feminine and masculine descriptions. Findings are consistent with the theories of precluded interest (Cheryan 2010) and circumscription and compromise (Gottfredson 1981). It is concluded that a key for attracting men to female-dominated vocations may be to provide opportunities for men to consider an occupation in ways that prevent or disrupt comparison to traditional stereotypic archetypes.	[Forsman, J. Andrew] Univ Arkansas, Clinton Sch Publ Serv, Little Rock, AR 72204 USA; [Barth, Joan M.] Univ Alabama, Social Sci Res Inst, Box 870216, Tuscaloosa, AL 35487 USA	Barth, JM (reprint author), Univ Alabama, Social Sci Res Inst, Box 870216, Tuscaloosa, AL 35487 USA.	jbarth@ua.edu						39	1	1	10	30	SPRINGER/PLENUM PUBLISHERS	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	0360-0025	1573-2762		SEX ROLES	Sex Roles	APR	2017	76	7-8					460	472		10.1007/s11199-016-0673-3				13	Psychology, Developmental; Psychology, Social; Women's Studies	Psychology; Women's Studies	ER0AD	WOS:000398447100005					2018-09-20	
J	Taschler, M; West, K				Taschler, Miriam; West, Keon			Contact with Counter-Stereotypical Women Predicts Less Sexism, Less Rape Myth Acceptance, Less Intention to Rape (in Men) and Less Projected Enjoyment of Rape (in Women)	SEX ROLES			English	Article						Contact hypothesis; Sexism; Sexual violence; Violence against women; Rape; Rape myth acceptance	INTERGROUP CONTACT; BENEVOLENT SEXISM; IMAGINED CONTACT; COLLEGE-STUDENTS; ANTIGAY PREJUDICE; ACQUAINTANCE RAPE; METAANALYTIC TEST; EXTENDED CONTACT; REDUCE PREJUDICE; NATIONAL SAMPLE	Intergroup contact-(positive) interactions with people from different social groups-is a widely researched and strongly supported prejudice-reducing mechanism shown to reduce prejudice against a wide variety of outgroups. However, no known previous research has investigated whether intergroup contact can also reduce sexism against women. Sexism has an array of negative outcomes. One of the most detrimental and violent ones is rape, which is both justified and downplayed by rape myth acceptance. We hypothesised that more frequent, higher quality contact with counter-stereotypical women would predict lower levels of sexism and thus less rape myth acceptance (in men) and less sexualised projected responses to rape (in women). Two studies using online surveys with community samples supported these hypotheses. In Study 1, 170 male participants who experienced more positive contact with counter-stereotypical women reported less intention to rape. Similarly, in Study 2, 280 female participants who experienced more positive contact with counter-stereotypical women reported less projected sexual arousal at the thought of being raped. Thus, the present research is the first known to show that contact could be a potential tool to combat sexism, rape myth acceptance, intentions to rape in men, and sexualisation of rape by women.	[Taschler, Miriam; West, Keon] Goldsmiths Univ London, Dept Psychol, New Cross Rd, London SE14 6NW, England	West, K (reprint author), Goldsmiths Univ London, Dept Psychol, New Cross Rd, London SE14 6NW, England.	mtasc001@gold.ac.uk; keon.west@gold.ac.uk		West, Keon/0000-0002-9955-661X				72	2	2	1	7	SPRINGER/PLENUM PUBLISHERS	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	0360-0025	1573-2762		SEX ROLES	Sex Roles	APR	2017	76	7-8					473	484		10.1007/s11199-016-0679-x				12	Psychology, Developmental; Psychology, Social; Women's Studies	Psychology; Women's Studies	ER0AD	WOS:000398447100006	28356612	gold_or_bronze			2018-09-20	
J	Ugurlu, NS; Ozdemir, F				Ugurlu, Nuray Sakalli; Ozdemir, Fatih			Predicting Attitudes toward the Masculine Structure of the Military with Turkish Identification and Ambivalent Sexism	SEX ROLES			English	Article						Attitudes; Masculinity of military; Turkish identity; Ambivalent sexism; Gender differences; Political view; Military affiliation	BENEVOLENT SEXISM; UNIVERSITY-STUDENTS; GENDER-GAP; WOMEN; AUTHORITARIANISM; INVENTORY; HOSTILE	Why do people support the masculine structure of the Turkish military? Why do women hold inferior positions in the military? How are sexism and Turkish identification relevant to attitudes toward the masculine structure of the military? Focusing on these questions, the current study explored the associations among Turkish identification, ambivalent sexism (including hostile and benevolent sexism), and attitudes toward the masculine structure of the military in Turkey after controlling for gender, political views, and military affiliation. University students (316 women; 262 men; M (age) = 22.02, SD = 2.20) completed the Attitude toward The Masculine Structure of the Military, Turkish Identification, Ambivalent Sexism scales and provided information about age, gender, political view, and military affiliation. The results showed that Turkish identification, hostile sexism, and benevolent sexism predicted attitudes toward the masculine structure of the military after controlling for gender, political view, and military affiliation. Participants who scored higher on Turkish identification and hostile and benevolent sexism supported the masculine structure of the military. The findings may be useful for researchers who aim to better understand why Turkish military personnel is primarily male, how some improvement can be provided for the process of recruitment and retention of military personnel, and how to improve the positions of women in the military or women who would like to join military.	[Ugurlu, Nuray Sakalli; Ozdemir, Fatih] Middle East Tech Univ, Dept Psychol, TR-06531 Ankara, Turkey	Ugurlu, NS (reprint author), Middle East Tech Univ, Dept Psychol, TR-06531 Ankara, Turkey.	nurays@metu.edu.tr		Sakalli Ugurlu, Nuray/0000-0003-4984-8427				52	2	2	3	8	SPRINGER/PLENUM PUBLISHERS	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	0360-0025	1573-2762		SEX ROLES	Sex Roles	APR	2017	76	7-8					511	519		10.1007/s11199-016-0676-0				9	Psychology, Developmental; Psychology, Social; Women's Studies	Psychology; Women's Studies	ER0AD	WOS:000398447100009					2018-09-20	
J	Torrisi, R				Torrisi, Rosara			Feminism and Religion: How Faiths View Women and Their Rights.	SEX ROLES			English	Book Review											RosaraTorrisi@LISexTherapy.com						2	0	0	2	3	SPRINGER/PLENUM PUBLISHERS	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	0360-0025	1573-2762		SEX ROLES	Sex Roles	APR	2017	76	7-8					520	521		10.1007/s11199-016-0721-z				2	Psychology, Developmental; Psychology, Social; Women's Studies	Psychology; Women's Studies	ER0AD	WOS:000398447100010					2018-09-20	
