PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Britwum, A				Britwum, Akua			Women Organising in Ghana: The Network for Women's Rights (NETRIGHT) and NGO Networking for Policy Intervention	FEMINIST AFRICA			English	Article									[Britwum, Akua] Univ Cape Coast, Ctr Gender Res Advocacy & Documentat, Cape Coast, Ghana; [Britwum, Akua] Univ Johannesburg, Inst Dev Studies, Johannesburg, South Africa; [Britwum, Akua] Univ Johannesburg, Fac Humanities, Johannesburg, South Africa; [Britwum, Akua] Global Labour Univ, Berlin, Germany	Britwum, A (reprint author), Univ Cape Coast, Ctr Gender Res Advocacy & Documentat, Cape Coast, Ghana.; Britwum, A (reprint author), Univ Johannesburg, Inst Dev Studies, Johannesburg, South Africa.; Britwum, A (reprint author), Univ Johannesburg, Fac Humanities, Johannesburg, South Africa.; Britwum, A (reprint author), Global Labour Univ, Berlin, Germany.							6	0	0	0	0	AFRICAN GENDER INST	CAPE TOWN	HARRY OPPENHEIMER INST BUILDING, LEVEL 2 & 4, UNIV CAPE TOWN, LIBRARY RD, RONDEBOSCH, CAPE TOWN, 7701, SOUTH AFRICA	1726-4596			FEM AFR	Fem. Afr.	DEC	2017		22					174	185						12	Women's Studies	Women's Studies	GB6PS	WOS:000429194300015					2018-09-20	
J	Yingwana, N				Yingwana, Ntokozo			"I'm not a feisty bitch, I'm a feminist!" Feminism in AWAKE! Women of Africa	FEMINIST AFRICA			English	Article									[Yingwana, Ntokozo] Univ Witwatersrand, African Ctr Migrat & Soc, Johannesburg, South Africa; [Yingwana, Ntokozo] Sex Worker Educ & Advocacy Taskforce, Cape Town, South Africa	Yingwana, N (reprint author), Univ Witwatersrand, African Ctr Migrat & Soc, Johannesburg, South Africa.							24	0	0	0	0	AFRICAN GENDER INST	CAPE TOWN	HARRY OPPENHEIMER INST BUILDING, LEVEL 2 & 4, UNIV CAPE TOWN, LIBRARY RD, RONDEBOSCH, CAPE TOWN, 7701, SOUTH AFRICA	1726-4596			FEM AFR	Fem. Afr.	DEC	2017		22					186	196						11	Women's Studies	Women's Studies	GB6PS	WOS:000429194300016					2018-09-20	
J	Pereira, C; Bop, C				Pereira, Charmaine; Bop, Codou			Women Organising in Senegal: Charmaine Pereira speaks with Codou Bop	FEMINIST AFRICA			English	Editorial Material									[Pereira, Charmaine] Working Grp Legislat Advocacy Coalit Violence Wom, Nairobi, Kenya; [Bop, Codou] Grp Rech Femmes & Lois Senegal GREFELS, Dakar, Senegal	Pereira, C (reprint author), Working Grp Legislat Advocacy Coalit Violence Wom, Nairobi, Kenya.							0	0	0	0	0	AFRICAN GENDER INST	CAPE TOWN	HARRY OPPENHEIMER INST BUILDING, LEVEL 2 & 4, UNIV CAPE TOWN, LIBRARY RD, RONDEBOSCH, CAPE TOWN, 7701, SOUTH AFRICA	1726-4596			FEM AFR	Fem. Afr.	DEC	2017		22					212	223						12	Women's Studies	Women's Studies	GB6PS	WOS:000429194300018					2018-09-20	
J	Stuart, T				Stuart, Toni			the revolution is a woman	FEMINIST AFRICA			English	Poetry																	0	0	0	0	0	AFRICAN GENDER INST	CAPE TOWN	HARRY OPPENHEIMER INST BUILDING, LEVEL 2 & 4, UNIV CAPE TOWN, LIBRARY RD, RONDEBOSCH, CAPE TOWN, 7701, SOUTH AFRICA	1726-4596			FEM AFR	Fem. Afr.	DEC	2017		22					227	229						3	Women's Studies	Women's Studies	GB6PS	WOS:000429194300019					2018-09-20	
J	Cai, SS				Cai Shenshen			Li Yugang and His Transgender Performance: Body Politics, Entertainment and Aesthetic Ambiguity	INTERSECTIONS-GENDER AND SEXUALITY IN ASIA AND THE PACIFIC			English	Editorial Material							GENDER	I have never thought a transgender male character could be so beautiful; 'she' is pure and classical in style. 'Her' beauty has superseded the majority of females, 'she' walks majestically, 'her' smile and glimpse touches one's soul. ' She' elegantly waves 'her' sleeves. I know that I am a man but when I watch 'her' performing, I am absolutely captivated and can't control my feelings towards 'her', and this internal conflict has made me question my sexuality.[ 1] His uncommon quality in arts vividly demonstrates the appeal of his femininity, elegantly rather than extravagantly, prettily rather than pretentiously. He is more feminine than woman. This is a kind of beauty that encompasses female prettiness in the modern world. Not only is it a prettiness of appearance, but also a prettiness emitting from the heart,-one of temperament. The expression and emotion showing in 'her' eyes is intoxicating.									31	0	0	1	1	AUSTRALIAN NAT UNIV	CANBERRA	DEPT FAR EASTERN HISTORY, CANBERRA, 2600, AUSTRALIA	1440-9151			INTERSECTIONS-GENDER	Intersections	DEC	2017		41												10	Women's Studies	Women's Studies	FV7CX	WOS:000424741700008					2018-09-20	
J	Hermkens, AK				Hermkens, Anna-Karina			Creating a Nation with Cloth: Women, Wealth, and Tradition in the Tongan Diaspora	INTERSECTIONS-GENDER AND SEXUALITY IN ASIA AND THE PACIFIC			English	Book Review																	1	0	0	0	0	AUSTRALIAN NAT UNIV	CANBERRA	DEPT FAR EASTERN HISTORY, CANBERRA, 2600, AUSTRALIA	1440-9151			INTERSECTIONS-GENDER	Intersections	DEC	2017		41												3	Women's Studies	Women's Studies	FV7CX	WOS:000424741700004					2018-09-20	
J	Blofield, M; Ewig, C; Piscopo, JM				Blofield, Merike; Ewig, Christina; Piscopo, Jennifer M.			The Reactive Left: Gender Equality and the Latin American Pink Tide	SOCIAL POLITICS			English	Editorial Material							SUBSTANTIVE REPRESENTATION; COMPARATIVE PERSPECTIVE; DOMESTIC VIOLENCE; WOMEN; POLITICS; GOVERNMENTS; ARGENTINA; POLICY; REVOLUTION; SEXUALITY	This introduction assesses the effects of Latin America's pink tide on gender equality in the region. We find that left governments and left competition provide an opportunity for advancing gender equality. However, the dominant pattern during Latin America's pink tide was one of a reactive left. Pink tide governments typically did not have clearly articulated gender equality initiatives on their immediate policy agendas. Instead, left governments mostly reacted to pressures from domestic gender equality activists. In addition to left ideology and feminist mobilization, left party type and policy type explain progress and setbacks in gender equality across six outcome areas.	[Blofield, Merike] Univ Miami, Dept Polit Sci, Coral Gables, FL 33124 USA; [Ewig, Christina] Univ Minnesota, Humphrey Sch Publ Affairs, Publ Affairs, Minneapolis, MN USA; [Ewig, Christina] Univ Minnesota, Humphrey Sch Publ Affairs, Ctr Women Gender & Publ Policy, Minneapolis, MN USA; [Piscopo, Jennifer M.] Occidental Coll, Dept Polit, Los Angeles, CA 90041 USA	Blofield, M (reprint author), Univ Miami, Dept Polit Sci, Coral Gables, FL 33124 USA.	m.blofield@miami.edu			University of Miami Institute for the Advanced Study of the Americas	The authors would like to thank three anonymous reviewers, Caroline Beer, Fernando Filgueira, Kendall Funk, Magda Hinojosa, Juliana Martinez Franzoni, Ana Laura Rodriguez Gusta, Stephanie Rousseau, Jocelyn Viterna, and the Social Politics editors for helpful comments. We would also like to thank the University of Miami Institute for the Advanced Study of the Americas for supporting a workshop for the authors of this Special Issue.		87	2	2	2	2	OXFORD UNIV PRESS	OXFORD	GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND	1072-4745	1468-2893		SOC POLIT	Soc. Polit.	WIN	2017	24	4			SI		345	369		10.1093/sp/jxx016				25	Social Issues; Women's Studies	Social Issues; Women's Studies	FR7VE	WOS:000419279300001					2018-09-20	
J	Filgueira, F; Franzoni, JM				Filgueira, Fernando; Martinez Franzoni, Juliana			The Divergence in Women's Economic Empowerment: Class and Gender under the Pink Tide	SOCIAL POLITICS			English	Article								Since 1990, men's monopoly over economic resources, a key feature of gender inequality, has been irreversibly eroded across Latin America. Women's access to income of their own has improved in dramatic ways. The most significant change preceded the Pink Tide years, fueled by structural conditions such as fertility drops and neoliberal policies' downward pressure on male wages and employment. However, women's access to resources remained conditioned by their socioeconomic status and the sexual division of labor at home. Against this backdrop, the Pink Tide expanded social income and made some progress regarding gender and class inequalities separately, yet not their perverse interactions.	[Filgueira, Fernando] Ctr Implementac Polit Equidad & Crecimiento, Callao 25 1 A,C1022AAA, Caba, Argentina; [Filgueira, Fernando] Ctr Informac Estudios Uruguay, 18 Julio 1431, Montevideo 11200, Uruguay; [Martinez Franzoni, Juliana] Univ Costa Rica, Inst Social Res, San Jose 492060, Costa Rica	Franzoni, JM (reprint author), Univ Costa Rica, Inst Social Res, San Jose 492060, Costa Rica.	juliana.martinez@ucr.ac.cr			UN Women	We acknowledge UN Women funding without which we would have not been able to work on these ideas. We also acknowledge the work conducted by the Economic Commission of Latin America (ECLAC) in Santiago de Chile, which both pioneered comparative gender studies in the region and produced most of the relevant data that today informs such debates. Data we put together based on ECLAC's inputs was published by UN Women (2017). Two anonymous reviewers helped us clarify and strengthen our argument. We are also thankful to the editors of this special issue for their substantive comments and to Jennifer Piscopo for her awesome and substantial editorial support. Ximena Alvarenga helped us get the manuscript in shape for submission.		70	1	1	3	3	OXFORD UNIV PRESS	OXFORD	GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND	1072-4745	1468-2893		SOC POLIT	Soc. Polit.	WIN	2017	24	4			SI		370	398		10.1093/sp/jxx014				29	Social Issues; Women's Studies	Social Issues; Women's Studies	FR7VE	WOS:000419279300002					2018-09-20	
J	Funk, KD; Hinojosa, M; Piscopo, JM				Funk, Kendall D.; Hinojosa, Magda; Piscopo, Jennifer M.			Still Left Behind: Gender, Political Parties, and Latin America's Pink Tide	SOCIAL POLITICS			English	Article							CANDIDATE SELECTION; ELECTORAL RULES; QUOTA LAWS; REPRESENTATION; WOMEN; ELECTION; LEGISLATURES; IMPLEMENTATION; EQUALITY; NETWORKS	We test whether women's representation benefited from the left's dominance in Latin America during the "pink tide". We find that left governments did not strengthen quota laws more than right governments. Further, after controlling for confounding factors, we find that left parties did not nominate or elect more women. Rather, we find the decision environment shapes parties' choices about women candidates: when citizens distrust political parties, parties nominate more women, but when citizens evaluate the economy poorly, and when parties face many challengers, they nominate more men. Thus, the decision environments in which parties operate overshadow the effects of ideology.	[Funk, Kendall D.; Hinojosa, Magda] Arizona State Univ, Sch Polit & Global Studies, Dept Polit, Tempe, AZ 85281 USA; [Piscopo, Jennifer M.] Occidental Coll, Polit, Los Angeles, CA 90041 USA	Hinojosa, M (reprint author), Arizona State Univ, Sch Polit & Global Studies, Dept Polit, Tempe, AZ 85281 USA.	Magda.Hinojosa@asu.edu						59	0	0	3	3	OXFORD UNIV PRESS	OXFORD	GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND	1072-4745	1468-2893		SOC POLIT	Soc. Polit.	WIN	2017	24	4			SI		399	424		10.1093/sp/jxx012				26	Social Issues; Women's Studies	Social Issues; Women's Studies	FR7VE	WOS:000419279300003		gold_or_bronze			2018-09-20	
J	Rousseau, S; Ewig, C				Rousseau, Stephanie; Ewig, Christina			Latin America's Left-Turn and the Political Empowerment of Indigenous Women	SOCIAL POLITICS			English	Article							GENDER EQUALITY; ECUADOR; BOLIVIA; MOVEMENTS; DEMOCRACY; PARITY; CORREA; SHIFT; PERU	Given indigenous women's position at the intersection of gender and racial oppressions, assessing their political empowerment (or lack thereof) over the course of Latin America's "left-turn" offers a barometer of just how well pink tide governments succeeded in their promises of inclusion. We assess whether the left turn led to the political empowerment of indigenous women by comparing the center-right government of Peru with the left-wing governments of Bolivia and Ecuador. We find that left governments perform better, but among the left, type of left party matters. Moreover, equally important is the strength of indigenous movements and indigenous women's organizing.	[Rousseau, Stephanie] Pontificia Univ Catolica Peru, Dept Social Sci, Polit Sci, Lima, Peru; [Ewig, Christina] Univ Minnesota, Humphrey Sch Publ Affairs, Publ Affairs, Minneapolis, MN USA; [Ewig, Christina] Univ Minnesota, Humphrey Sch Publ Affairs, Ctr Women Gender & Publ Policy, Minneapolis, MN USA	Rousseau, S (reprint author), Pontificia Univ Catolica Peru, Dept Social Sci, Polit Sci, Lima, Peru.	srousseau@pucp.pe; cewig@umn.edu						80	2	2	1	5	OXFORD UNIV PRESS	OXFORD	GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND	1072-4745	1468-2893		SOC POLIT	Soc. Polit.	WIN	2017	24	4			SI		425	451		10.1093/sp/jxx013				27	Social Issues; Women's Studies	Social Issues; Women's Studies	FR7VE	WOS:000419279300004					2018-09-20	
