UT	AF	TI	SO	AB	C1	PY	WC	author	gender.x	author_male	gender.y	author_female
ISI000455495100001	AJAERO, CHUKWUEDOZIE K.; ODIMEGWU, C. O.; MKWANANZI, SIBUSISO; BANJO, O.	INTER-PROVINCIAL MIGRATION EFFECT ON YOUTH RISK BEHAVIORS IN SOUTH AFRICA: A MULTILEVEL ANALYSIS OF CONTEXTUAL- AND INDIVIDUAL-LEVEL FACTORS	COGENT SOCIAL SCIENCES	BACKGROUND: THIS STUDY COMPARED THE PARTICIPATION OF INTER-PROVINCIAL MIGRANT AND NON-MIGRANT SOUTH AFRICAN YOUTHS IN RISK BEHAVIORS (RBS), AND INVESTIGATED THE CONTEXTUAL AND INDIVIDUAL FACTORS THAT INFLUENCED THEIR PARTICIPATION IN RBS. METHOD: DATA WAS FROM THE NATIONAL INCOME DYNAMICS STUDY (NIDS), WAVE 3 OF 2014 WHICH WAS A SURVEY OF INDIVIDUALS AND HOUSEHOLDS LIVING IN THE NINE PROVINCES OF SOUTH AFRICA. A TOTAL OF 5590 YOUNG PEOPLE AGED 15-24 YEARS WERE USED FOR THIS STUDY. SMOKING OF CIGARETTES AND DRINKING OF ALCOHOL WERE USED AS THE TWO OUTCOME VARIABLES OF RISK BEHAVIORS. DATA ANALYSIS WAS WITH UNIVARIATE, BIVARIATE, AND MULTI-LEVEL LOGISTIC REGRESSION TECHNIQUES. RESULTS: WHILE 12.67% OF THE YOUTHS WERE SMOKERS, 26.70% WERE DRINKERS. IN ADDITION, MORE OF THE NON-MIGRANTS WERE ENGAGED IN SMOKING AND DRINKING COMPARED TO MIGRANTS. WITH THE EXCEPTION OF SELF-RATED PHYSICAL HEALTH AND MARITAL STATUS, THE RESULTS SHOWED SIGNIFICANT DIFFERENCES IN SMOKING AND DRINKING AMONG MIGRANTS AND NON-MIGRANTS IN OTHER CONTEXTUAL AND INDIVIDUAL VARIABLES. PROVINCE OF RESIDENCE AND LIVING IN URBAN AREAS SIGNIFICANTLY INCREASED THE ODDS OF SMOKING AND DRINKING AMONG THE MIGRANTS AND NON-MIGRANTS. OTHER CONTEXTUAL FACTORS THAT INCREASED THE ODDS OF DRINKING AND SMOKING IN THE STUDY AREA WERE POOR MENTAL HEALTH STATUS, AND GOOD SELF-RATED HEALTH OF NON-MIGRANTS (1.42; P < 0.05), AND MIGRANTS (1.40; P < 0.05). CONCLUSION: INTERVENTION MEASURES/STRATEGIES SHOULD INCLUDE PROVISION OF COUNSELING CENTERS, IMPROVEMENT IN THE EDUCATION OF THE YOUTH AND INCREASED MEDIA REPORTAGE ON THE DANGERS OF PARTICIPATION IN THESE RISK BEHAVIORS.	[AJAERO, CHUKWUEDOZIE K.] UNIV NIGERIA, DEPT GEOG, NSUKKA, NIGERIA.; [AJAERO, CHUKWUEDOZIE K.; ODIMEGWU, C. O.; MKWANANZI, SIBUSISO; BANJO, O.] UNIV WITWATERSRAND, FAC HUMANITIES, SCH PUBL HLTH, DEMOG & POPULAT STUDIES PROGRAMME, JOHANNESBURG, SOUTH AFRICA.; [AJAERO, CHUKWUEDOZIE K.; ODIMEGWU, C. O.; MKWANANZI, SIBUSISO; BANJO, O.] UNIV WITWATERSRAND, FAC HUMANITIES, SCH SOCIAL SCI, DEMOG & POPULAT STUDIES PROGRAMME, JOHANNESBURG, SOUTH AFRICA.	2018	SOCIAL SCIENCES, INTERDISCIPLINARY					
ISI000453838800001	GRAHAM, LAUREN; MPHAPHULI, MEMORY	"\\\""\\\""A GUY 'DOES' AND YOU DON'T, THEY DO YOU INSTEAD\\\"": YOUNG PEOPLE'S NARRATIVES OF GENDER AND SEXUALITY IN A LOW-INCOME CONTEXT OF SOUTH AFRICA\\""\"""""	SAGE OPEN	THE INTENSIVE RESEARCH FOCUS ON YOUNG PEOPLE'S SEXUALITY IN RELATION TO RISK MEANS THAT YOUNG PEOPLE'S SEXUALITY IS OFTEN PATHOLOGIZED. WE THUS MISS OUT ON THE DAY-TO-DAY LIVED REALITIES OF HOW YOUNG PEOPLE NEGOTIATE GENDER IDENTITY AS WELL AS SEXUALITY IN COMPLEX, NUANCED, BUT NORMAL WAYS. THIS ARTICLE CONTRIBUTES TO AN EMERGING BODY OF RESEARCH THAT HIGHLIGHTS HOW YOUNG PEOPLE NEGOTIATE GENDER IDENTITY AND SEXUALITY IN THEIR DAY-TO-DAY LIVES, BY FOCUSING ON THE NARRATIVES OF YOUNG PERSONS ENGAGED IN HETERONORMATIVE RELATIONSHIPS IN A RESOURCE CONSTRAINED SETTING IN SOUTH AFRICA. WE OFFER INSIGHTS INTO DOMINANT, BUT ALSO ALTERNATIVE DISCOURSES OF GENDER AND SEXUALITY THAT ARE NOT HIGHLIGHTED IN THE LITERATURE IN THIS FIELD. FURTHERMORE, WE OFFER NEW EMPIRICAL INSIGHTS INTO HOW SOCIOECONOMIC STATUS SHAPES THEIR GENDER IDENTITY, BELIEFS ABOUT SEX AND THEIR SEXUAL PRACTICES, CONTRIBUTING TO A SMALL BUT EMERGING FIELD OF RESEARCH ENGAGING WITH THE INTERSECTION OF GENDER, SEX, AND SOCIOECONOMIC STATUS.	[GRAHAM, LAUREN] UNIV JOHANNESBURG, CTR SOCIAL DEV AFRICA, PROJECTS YOUTH TRANSIT ADULTHOOD, AUCKLAND PK, SOUTH AFRICA.; [MPHAPHULI, MEMORY] UNIV FREE STATE, SOCIOL DEPT, PHUTHADITJHABA, SOUTH AFRICA.	2018	SOCIAL SCIENCES, INTERDISCIPLINARY	2.0			female	2.0
ISI000453829000001	STEVENSON, JACQUI; KEOGH, PETER; SMITH, JOHN; WEST, ELIZABETH	REACHING THE RIGHT PEOPLE: REFLEXIVE PRACTICE TO SUPPORT EFFECTIVE RECRUITMENT, PARTICIPATION, AND ENGAGEMENT IN RESEARCH WITH COMMUNITIES AFFECTED BY STIGMA	INTERNATIONAL JOURNAL OF QUALITATIVE METHODS	"\\\""RECRUITING PARTICIPANTS TO QUALITATIVE STUDIES IS OFTEN A CHALLENGE-REACHING THE RIGHT PEOPLE, AND THE RIGHT PEOPLE CHOOSING TO PARTICIPATE, IS A PRIMARY CONSIDERATION FOR RESEARCHERS. FOR RESEARCH ON HIV, AS A CONDITION WHICH CONTINUES TO BE STIGMATIZED, THIS CAN BE MAGNIFIED. HOWEVER, BEING PART OF THE HIV VOLUNTARY SECTOR AND OCCUPYING A ROLE OF \\\""HIV ADVOCATE\\\"" CAN PROVIDE ROUTES TO OVERCOME THIS CHALLENGE. USING THE EXAMPLE OF THE RESEARCHER'S TRANSITION FROM VOLUNTARY SECTOR WORKER TO ACADEMIC PHD RESEARCHER, THIS ARTICLE EXPLORES HOW RECRUITMENT CAN BE FACILITATED BY UTILIZING PERSONAL AND PROFESSIONAL NETWORKS AND HOW, IN TURN, THIS CAN PRESENT NEW CHALLENGES IN REACHING PARTICIPANTS WHO ARE NOT \\\""RESEARCH REGULARS,\\\"" WHO ARE EXPERIENCED IN PARTICIPATING IN QUALITATIVE RESEARCH. IT FURTHER EXPLORES REFLEXIVE METHODOLOGIES AS APPLIED TO PARTICIPATORY RESEARCH ON HIV AND AGING AS IT AFFECTS WOMEN IN THE UK AND ASKS HOW THE ROLES OF \\\""ADVOCATE\\\"" AND \\\""RESEARCHER\\\"" COMPLEMENT AND CHALLENGE ONE ANOTHER. REFLEXIVE PRACTICE AND AN ANALYSIS OF THE RESEARCHER'S MOTIVES AND HOW THIS IMPACTS ON RECRUITMENT, PARTICIPATION, AND DISSEMINATION ARE CONSIDERED. A THREE-PART APPROACH TO REFLEXIVELY ENGAGING WITH PARTICIPANTS' QUESTIONS IS PUT FORWARD. THIS PROVIDES A NEW PERSPECTIVE ON PARTICIPATORY APPROACHES IN RELATION TO RESEARCH RECRUITMENT SPECIFICALLY.\\""\"""""	[STEVENSON, JACQUI; SMITH, JOHN; WEST, ELIZABETH] UNIV GREENWICH, AVERY HILL CAMPUS,C-O FLAT B,15 EUGENIA RD, LONDON SE16 2RU, ENGLAND.; [KEOGH, PETER] OPEN UNIV, MILTON KEYNES, BUCKS, ENGLAND.	2018	SOCIAL SCIENCES, INTERDISCIPLINARY	4.0	male	2.0	female	2.0
ISI000447559000004	LEE, JESS	BLACK LGB IDENTITIES AND PERCEPTIONS OF SAME-SEX MARRIAGE	JOURNAL OF HOMOSEXUALITY	THE 2015 SCOTUS RULING LEGALIZING SAME-SEX MARRIAGE WAS HAILED AS A UNIVERSAL VICTORY FOR THE LESBIAN, GAY, AND BISEXUAL (LGB) COMMUNITY, BUT THE PERVASIVE SUPPORT MOBILIZED TO ACHIEVE THIS GOAL MAY MASK IMPORTANT DISSENSION AND INEQUALITY WITHIN THE COMMUNITY. SPECIFICALLY, HOW RACE MAY SHAPE OR PERPETUATE INEQUALITIES IN THE LGB COMMUNITY THROUGH SAME-SEX MARRIAGE LARGELY HAS BEEN ABSENT FROM THE DISCUSSION. FOCUSING ON THE PERCEIVED IMPACT OF SAME-SEX MARRIAGE IN RESPONDENTS' LIVES, I INVESTIGATE THE RELATIONSHIP BETWEEN BLACK LGBS' PERCEPTION OF SAME-SEX MARRIAGE LEGALIZATION AND THEIR INTERSECTIONAL IDENTITIES AND COMMUNITY MEMBERSHIP. DRAWING FROM THE 2010 SOCIAL JUSTICE SEXUALITY PROJECT SURVEY, I EXPLAIN THE COMPLEXITY OF THE ATTITUDES OF BLACK LGBS TO THE LEGALIZATION OF SAME-SEX MARRIAGE AND ILLUSTRATE THAT (1) BLACK LGBS EXHIBIT HETEROGENEOUS INTERPRETATION OF THE EFFECTS OF SAME-SEX MARRIAGE LEGALIZATION ON THEIR LIVES BASED ON THEIR RACIAL AND SEXUAL IDENTITIES, AND (2) SAME-SEX MARRIAGE MAY PROVIDE BLACK LGBS THE RATIONALE TO AFFIRM THEIR RACIAL COMMUNITY MEMBERSHIP AS SEXUAL MINORITIES. THIS STUDY PUSHES OUR UNDERSTANDING OF THE RELATIONSHIP BETWEEN INTERSECTIONAL IDENTITIES AND INDIVIDUALS' PERCEPTIONS OF THE SELF, IDENTITY-BASED COMMUNITY MEMBERSHIPS, AND SOCIAL INSTITUTIONS.	[LEE, JESS] UNIV CALIF IRVINE, DEPT SOCIOL, 3151 SOCIAL SCI PLAZA, IRVINE, CA 92697 USA.	2018	PSYCHOLOGY, MULTIDISCIPLINARY; SOCIAL SCIENCES, INTERDISCIPLINARY	1.0	male	1.0		
ISI000453212000001	FAGLEY, N. S.	APPRECIATION (INCLUDING GRATITUDE) AND AFFECTIVE WELL-BEING: APPRECIATION PREDICTS POSITIVE AND NEGATIVE AFFECT ABOVE THE BIG FIVE PERSONALITY FACTORS AND DEMOGRAPHICS	SAGE OPEN	"\\\""THIS STUDY INVESTIGATED THE RELATION BETWEEN APPRECIATION AND POSITIVE AND NEGATIVE AFFECT, CONTROLLING FOR GENDER, AGE, ETHNICITY, AND BIG FIVE PERSONALITY FACTORS. APPRECIATION CONSISTS OF SEVERAL ASPECTS, INCLUDING A FOCUS ON WHAT ONE HAS (\\\""HAVE\\\"" FOCUS), AWE, GRATITUDE, AND INTERPERSONAL APPRECIATION. UNDERGRADUATES (N = 236) COMPLETED AN ONLINE SURVEY CONTAINING THE APPRECIATION SCALE, POSITIVE AND NEGATIVE AFFECT SCALE (PANAS), AND BIG FIVE INVENTORY (BFI). THE BIG FIVE TRAITS ACCOUNTED FOR 38% AND 43% OF THE VARIANCE IN POSITIVE AND NEGATIVE AFFECT, RESPECTIVELY, BEYOND DEMOGRAPHICS. APPRECIATION ACCOUNTED FOR 9% (P < .001) AND 4.6% (P < .05) OF THE VARIANCE IN POSITIVE AND NEGATIVE AFFECT, RESPECTIVELY, BEYOND DEMOGRAPHICS AND THE BIG FIVE. THE \\\""HAVE\\\"" FOCUS ASPECT OF APPRECIATION, WHICH REPRESENTS NOTICING, FOCUSING ON, AND VALUING WHAT ONE HAS, ACCOUNTED FOR SIGNIFICANT UNIQUE VARIANCE IN BOTH POSITIVE AND NEGATIVE AFFECT. GRATITUDE DID NOT. FUTURE RESEARCH IS NEEDED TO DETERMINE HOW BROADLY THESE RESULTS GENERALIZE.\\""\"""""	[FAGLEY, N. S.] RUTGERS STATE UNIV, PSYCHOL, PISCATAWAY, NJ 08854 USA.	2018	SOCIAL SCIENCES, INTERDISCIPLINARY					
ISI000448086900008	MAIR, JUDITH; FREW, ELSPETH	ACADEMIC CONFERENCES: A FEMALE DUO-ETHNOGRAPHY	CURRENT ISSUES IN TOURISM	LITERATURE HAS IDENTIFIED A RANGE OF CONFERENCE ATTENDANCE MOTIVATIONS, INCLUDING NETWORKING, PROFESSIONAL DEVELOPMENT, AND THE VENUE/LOCATION OF THE CONFERENCE. HOWEVER, VERY FEW STUDIES HAVE EXAMINED DELEGATE BEHAVIOUR FROM A GENDER PERSPECTIVE, AND STUDIES FOCUSING ON THE LIVED EXPERIENCE OF CONFERENCE DELEGATES ARE EXTREMELY RARE. THIS PAPER IS GUIDED BY HERMENEUTIC PHENOMENOLOGY AND USES A DUO-ETHNOGRAPHIC APPROACH TO EXPLORE EXPERIENCES OF FEMALE ACADEMICS ATTENDING TOURISM, HOSPITALITY, AND EVENTS CONFERENCES. FINDINGS SUGGEST THAT THERE ARE PARTICULAR ISSUES FOR FEMALE DELEGATES WHICH HAVE NOT ARISEN IN PREVIOUS STUDIES. THESE INCLUDE NOT ONLY THE IMPORTANCE OF HAVING STRONG FEMALE ROLE MODELS AND THE SIGNIFICANCE OF FUN AND FRIENDSHIP, BUT ALSO THE PROMINENT ROLE OF EMOTIONS, CARER RESPONSIBILITIES, SAFETY CONCERNS, AND HARASSMENT. THE NOTION OF THE ACADEMIC PERSONA ALSO EMERGED AS A KEY PART OF THE CONFERENCE EXPERIENCE. AREAS FOR FUTURE RESEARCH ARE SUGGESTED AND PRACTICAL IMPLICATIONS FOR CONFERENCE ORGANIZERS ARE ALSO PRESENTED.	[MAIR, JUDITH] UNIV QUEENSLAND, SCH BUSINESS, ST LUCIA, QLD 4072, AUSTRALIA.; [FREW, ELSPETH] LA TROBE UNIV, DEPT MANAGEMENT & MKT, BUNDOORA, VIC, AUSTRALIA.	2018	HOSPITALITY, LEISURE, SPORT & TOURISM	2.0			female	2.0
ISI000452792900002	SUNDARAM, VANITA; JACKSON, CAROLYN	'MONSTROUS MEN' AND 'SEX SCANDALS': THE MYTH OF EXCEPTIONAL DEVIANCE IN SEXUAL HARASSMENT AND VIOLENCE IN EDUCATION	PALGRAVE COMMUNICATIONS	ONE MIGHT ARGUE THAT SEXISM, SEXUAL HARASSMENT AND SEXUAL VIOLENCE HAVE BECOME HYPER-VISIBLE IN RECENT TIMES. THE #METOO MOVEMENT HAS FOCUSED OUR ATTENTION ON THE PREVALENCE OF SEXUAL HARASSMENT AND ABUSE IN A RANGE OF CONTEXTS, INCLUDING IN HOLLYWOOD, THE MEDIA INDUSTRY, WESTMINSTER, SCIENCE AND ACADEMIA. MEDIA REPORTING OF THESE HIGH-PROFILE CASES REPRESENTS THE PERPETRATORS OF THESE CRIMES AS 'MONSTERS', 'SEX PESTS', AS HIGHLY UNUSUAL OR DEVIANT INDIVIDUALS. WE ARGUE HERE, THAT RATHER, SUCH PRACTICES PERVADE A RANGE OF CONTEXTS, INCLUDING EDUCATIONAL ONES, AND ARE NORMALISED AND 'HIDDEN' WITHIN THESE SETTINGS. WE WILL DRAW ON OUR RECENT RESEARCH ON 'LAD CULTURE' IN HIGHER EDUCATION TO DISCUSS HOW HARASSMENT AND SEXUAL ABUSE ARE NORMALISED IN CERTAIN UNIVERSITY CONTEXTS. OUR PIECE WILL EXPLORE HOW SUCH CULTURES SILENCE SURVIVORS AND MASK, OR MAKE INVISIBLE, INSTANCES OF EVERYDAY SEXISM AND HARASSMENT AND HOW SUCH SILENCING CAN PERPETUATE THE NOTION THAT INDIVIDUAL 'MONSTERS' COMMIT SUCH ACTS. DRAWING ON INTERVIEWS WITH STAFF WORKING IN UNIVERSITIES, THIS PIECE SHOWS HOW SEXUAL HARASSMENT IS MIS-PERCEIVED, JUSTIFIED AND MINIMISED (PARTICULARLY IN RELATION TO LESS VISIBLE EXAMPLES OF DEGRADATION OR ABUSE OF WOMEN) AND HOW THE NOTION OF THE 'PROBLEMATIC INDIVIDUAL' PREVAILS IN FAVOUR OF A STRUCTURAL, GENDERED ANALYSIS OF HARASSMENT AND VIOLENCE. UNIVERSITY RESPONSES TO SEXUAL HARASSMENT AND VIOLENCE HAVE THEREFORE TENDED TO BE RESPONSIVE AND FOCUSED ON INDIVIDUALS, RATHER THAN TAKING A WHOLE-INSTITUTION APPROACH TO TACKLING THESE PRACTICES.	[SUNDARAM, VANITA] UNIV YORK, DEPT EDUC, YORK, N YORKSHIRE, ENGLAND.; [JACKSON, CAROLYN] UNIV LANCASTER, DEPT EDUC RES, LANCASTER, ENGLAND.	2018	SOCIAL SCIENCES, INTERDISCIPLINARY	2.0			female	2.0
ISI000453061100001	FAKUNMOJU, SUNDAY B.; RASOOL, SHAHANA	EXPOSURE TO VIOLENCE AND BELIEFS ABOUT VIOLENCE AGAINST WOMEN AMONG ADOLESCENTS IN NIGERIA AND SOUTH AFRICA	SAGE OPEN	ALTHOUGH ADOLESCENTS' EXPOSURE TO VIOLENCE AND OPPRESSIVE GENDER ATTITUDES IS PREVALENT, COMPARATIVE KNOWLEDGE ACROSS COUNTRIES IS SPARSE. THIS STUDY EXAMINED EXPOSURE TO INTIMATE PARTNER VIOLENCE (IPV), FAMILY VIOLENCE, AND BELIEFS ABOUT VIOLENCE AGAINST WOMEN (VAW) IN A CONVENIENCE SAMPLE OF 2,462 ADOLESCENTS FROM 44 SCHOOLS IN NIGERIA AND SOUTH AFRICA. FINDINGS SUGGESTED THAT EXPOSURE TO IPV, FAMILY VIOLENCE, AND BELIEFS ABOUT VAW DIFFERED BY GENDER AND COUNTRY. SPECIFICALLY, ADOLESCENTS FROM NIGERIA WERE MORE LIKELY TO BE EXPOSED TO IPV AND FAMILY VIOLENCE AND WERE MORE LIKELY TO ENDORSE VAW THAN ADOLESCENTS FROM SOUTH AFRICA. MALE ADOLESCENTS WERE MORE LIKELY TO ENDORSE VAW THAN WERE FEMALE ADOLESCENTS. SIMILARLY, HIGHER AGE, BEING MALE, BEING FROM NIGERIA, BEING IN A RELATIONSHIP, AND GREATER EXPOSURE TO FAMILY VIOLENCE WERE ASSOCIATED WITH HIGHER ENDORSEMENT OF VAW. FINDINGS SUGGEST THAT EFFECTIVE PREVENTION PROGRAMS ARE NEEDED IN BOTH COUNTRIES TO MITIGATE EXPOSURE TO IPV AND FAMILY VIOLENCE. CONCERTED EFFORTS ARE ALSO REQUIRED TO WORK WITH EXPOSED ADOLESCENTS TO INHIBIT PRO-VAW BELIEFS AND STOP THE INTERGENERATIONAL TRANSMISSION OF VIOLENCE. ADDITIONAL IMPLICATIONS OF FINDINGS FOR POLICY, PRACTICE, AND RESEARCH ARE DISCUSSED.	[FAKUNMOJU, SUNDAY B.] WESTFIELD STATE UNIV, DEPT SOCIAL WORK, WESTFIELD, MA USA.; [RASOOL, SHAHANA] UNIV JOHANNESBURG, DEPT UNIV, AUCKLAND PK, SOUTH AFRICA.	2018	SOCIAL SCIENCES, INTERDISCIPLINARY	2.0			female	2.0
ISI000450786100006	KALARGYROU, VALENTINI; BARBER, NELSON A.; KUO, PEI-JOU	THE IMPACT OF DISABILITY ON GUESTS' PERCEPTIONS OF SERVICE QUALITY DELIVERY IN THE HOSPITALITY INDUSTRY	INTERNATIONAL JOURNAL OF CONTEMPORARY HOSPITALITY MANAGEMENT	PURPOSE THE PURPOSE OF THIS STUDY IS TO EXAMINE THE IMPACT OF EMPLOYEES' DIFFERENT DISABILITY TYPES ON LODGING GUESTS' PERCEPTIONS OF SERVICE QUALITY DELIVERY AND STEREOTYPING. THE STUDY ALSO EXPLORES THE INFLUENCE OF CONSUMER CHARACTERISTICS (I.E. GENDER, EDUCATION, RELIGIOSITY, GENERATIONAL IDENTITY AND RELATIONSHIP TO A PERSON WITH A DISABILITY) ON SERVICE DELIVERY QUALITY PERCEPTIONS AND STEREOTYPING. DESIGN/METHODOLOGY/APPROACH USING DIFFERENT TYPES OF DISABILITIES, THE STUDY USES A CONTROLLED EXPERIMENT, FOLLOWED BY A SURVEY, TO EVALUATE CONSUMERS' PERCEPTION OF SERVICE QUALITY DELIVERY OF A HOTEL FRONT OFFICE STAFF MEMBER. FINDINGS THE RESULTS SUGGEST THAT THERE ARE NO SIGNIFICANT DIFFERENCES IN THE PERCEPTIONS OF SERVICE QUALITY DELIVERY AND STEREOTYPING FOR SERVICE EMPLOYEES WITH DISABILITIES WITH THE EXCEPTION OF EMPLOYEES WITH A VISUAL IMPAIRMENT. THE STUDY FOUND THAT PARTICIPANTS, WHO HAD A CLOSE FRIEND OR FAMILY MEMBER WITH A DISABILITY, EXPRESSED LESS STEREOTYPING THAN THOSE WHO DID NOT HAVE A CLOSE FRIEND OR FAMILY MEMBER WITH A DISABILITY. RESEARCH LIMITATIONS/IMPLICATIONS REAL SERVICE ENCOUNTERS CAN BE USED WHERE PARTICIPANTS MIGHT BE MORE INVOLVED IN THE SERVICE PROCESS THAN IN A CONTROLLED EXPERIMENT SETTING. PRACTICAL IMPLICATIONS THE FINDINGS PROVIDE SUPPORT TO HUMAN RESOURCE MANAGEMENT IN STRATEGICALLY PLACING PEOPLE WITH DISABILITIES INTO FRONT-LINE POSITIONS BECAUSE THEY SATISFACTORILY REPRESENT THE IMAGE OF THE COMPANY AND GUESTS CONSIDER THEIR SERVICE PROFESSIONAL AND RELIABLE. SOCIAL IMPLICATIONS THE STUDY'S FINDINGS SUPPORT THAT EMPLOYERS SHOULD TAP INTO THE UNDER-UTILIZED WORKFORCE OF PEOPLE WITH DISABILITIES AND AVOID PRE-EXISTING STEREOTYPING. ORIGINALITY/VALUE A MAJOR CONCERN OF HOSPITALITY COMPANIES MAKING EMPLOYMENT DECISIONS ABOUT HIRING PEOPLE WITH DISABILITIES IS GUESTS' ATTITUDE. THIS IS THE FIRST STUDY IN HOSPITALITY THAT EXAMINES SERVICE QUALITY DELIVERY OF EMPLOYEES WITH DIFFERENT TYPES OF DISABILITY SERVE GUESTS.	[KALARGYROU, VALENTINI; BARBER, NELSON A.] UNIV NEW HAMPSHIRE, PETER T PAUL COLL BUSINESS & ECON, DEPT HOSPITALITY MANAGEMENT, DURHAM, NH 03824 USA.; [KUO, PEI-JOU] UNIV DENVER, DANIELS COLL BUSINESS, FRITZ KNOEBEL SCH HOSPITALITY MANAGEMENT, DENVER, CO USA.	2018	HOSPITALITY, LEISURE, SPORT & TOURISM; MANAGEMENT	1.0	male	1.0		
ISI000453005700001	NGUBANE, NOKUTHULA; MAHARAJ, PRANITHA	CHILDBEARING IN THE CONTEXT OF THE CHILD SUPPORT GRANT IN A RURAL AREA IN SOUTH AFRICA	SAGE OPEN	ALTHOUGH TEENAGE PREGNANCY APPEARS TO BE ON THE DECLINE IN SOUTH AFRICA, IT IS STILL HIGH AND A MATTER OF HEATED DEBATE. SOME COMMENTATORS ARGUE THAT THE CHILD SUPPORT GRANT IS FUELLING THE HIGH LEVELS OF CHILDBEARING AMONG YOUNG WOMEN IN SOUTH AFRICA. TO INVESTIGATE THIS RELATIONSHIP, QUALITATIVE DATA USING IN-DEPTH INTERVIEWS WAS CONDUCTED WITH WOMEN AGED 18 TO 24 YEARS WHO WERE RECIPIENTS OF THE CHILD SUPPORT GRANT. THE STUDY WAS CONDUCTED IN MTUBATUBA, WHICH IS LOCATED IN NORTHERN KWAZULU-NATAL IN SOUTH AFRICA. THE WOMEN IN THE STUDY DENIED THAT THEY HAD CHILDREN TO ACCESS THE GRANT. THEY POINTED OUT THAT THE GRANT IS MINIMAL AND DID NOT COVER THE COST OF RAISING A CHILD. THE WOMEN IDENTIFIED A RANGE OF FACTORS THAT CONTRIBUTE TO CHILDBEARING INCLUDING INADEQUATE KNOWLEDGE ABOUT SEX, GENDER RELATIONS, LACK OF ACCESS TO CONTRACEPTIVE SERVICES, AND RISKY BEHAVIORS. AGE APPROPRIATE AND YOUTH FRIENDLY HEALTH SERVICES SHOULD THUS BE A PRIORITY FOR GOVERNMENT IN TACKLING THIS PROBLEM.	[NGUBANE, NOKUTHULA] UNIV KWAZULU NATAL, DEV STUDIES, DURBAN, SOUTH AFRICA.; [MAHARAJ, PRANITHA] UNIV KWAZULU NATAL, SCH BUILT ENVIRONM & DEV STUDIES, ECON DEV, ZA-4041 DURBAN, SOUTH AFRICA.	2018	SOCIAL SCIENCES, INTERDISCIPLINARY					
